P,Mt,Kt,Nt,x_elems,w_elems,startup_shift_steps,startup_shift_cycles,compute_per_iter,comm_exposed_per_iter,kernel_cycles
180,12,12,12,144,144,90,13050.0,1100,314.0,267570.0
360,6,6,6,36,36,180,6660.0,350,206.0,206820.0
540,4,4,4,16,16,270,4590.0,180,186.0,202230.0
720,3,3,3,8,8,360,3240.0,110,178.0,210600.0
360,12,12,12,144,144,180,26100.0,1100,314.0,535140.0
540,8,8,8,64,64,270,17550.0,560,234.0,446310.0
720,6,6,6,36,36,360,13320.0,350,206.0,413640.0
360,24,24,24,576,576,180,103860.0,3680,746.0,1697220.0
540,16,16,16,256,256,270,69390.0,1800,426.0,1271430.0
720,12,12,12,144,144,360,52200.0,1100,314.0,1070280.0
